Wall time,Step,Value
1720031455,1569,0.722439826
1720031530,1578,0.890108287
1720031563,1582,0.81593132
1720031582,1584,0.624302089
1720031618,1588,0.667779088
1720031700,1597,1.013805389
1720031763,1604,0.829379439
1720031772,1605,1.002404332
1720031814,1610,0.801018715
1720031888,1618,0.73693949
1720031968,1627,0.761124611
1720031976,1628,0.908615291
1720032009,1632,0.772178531
1720032050,1637,0.758993149
1720032078,1640,0.719751
1720032096,1642,0.87754631
1720032123,1645,0.634327412
1720032151,1648,0.847245336
1720032187,1652,0.694699466
1720032256,1660,0.893437624
1720032328,1668,0.761855006
1720032364,1672,0.832626224
1720032392,1675,0.927151859
1720032455,1682,0.698437274
1720032532,1691,0.889923275
1720032570,1695,1.233792186
1720032578,1696,0.906100333
1720032587,1697,0.834510982
1720032605,1699,0.994777679
1720032630,1702,0.805592656
1720032690,1709,0.722294748
1720032767,1718,0.598105609
1720032859,1728,0.973398268
1720032894,1732,0.761043668
1720032912,1734,0.793507874
1720032939,1737,0.54964906
1720032983,1742,0.584585369
1720033008,1745,0.855900884
1720033016,1746,0.637251019
1720033026,1747,0.618655264
1720033072,1752,0.595991194
1720033194,1766,0.809781313
1720033271,1775,0.843205512
1720033324,1781,0.542022943
1720033386,1788,0.732416332
1720033395,1789,0.563808858
1720033473,1798,0.477367461
1720033885,1805,0.921405435
1720033991,1817,0.55116725
1720034072,1826,0.795776844
1720034108,1830,0.849251211
1720034195,1840,0.765003562
1720034203,1841,0.772557676
1720034230,1844,0.834788501
1720034276,1849,0.765262425
1720034311,1853,0.839180648
1720034424,1866,0.643256366
1720034449,1869,0.71012187
1720034504,1875,0.846921265
1720034514,1876,0.770315945
1720034522,1877,0.862683177
1720034825,1911,0.785448492
1720034877,1917,1.086096406
1720034937,1924,0.792649806
1720034993,1930,1.151058316
1720035030,1934,0.682200909
1720035047,1936,0.852616668
1720035065,1938,0.895845592
1720035117,1944,0.682964861
1720035143,1947,1.104451537
1720035160,1949,0.633158028
1720035187,1952,0.500301242
1720035214,1955,0.688604474
1720035323,1967,0.932378769
1720035341,1969,1.079482079
1720035449,1981,0.524515212
1720035458,1982,0.644811153
1720035467,1983,0.767086804
1720035591,1997,0.537771285
1720035624,2001,0.751570046
1720035659,2005,0.789041162
1720035697,2009,0.832277536
1720035733,2013,0.819564164
1720035769,2017,0.61264503
1720035839,2025,1.100357175
1720035856,2027,0.83292681
1720035881,2030,0.800373375
1720035907,2033,0.691598356
1720035935,2036,0.787727773
1720035979,2041,0.747276187
1720036146,2060,0.744139552
1720036252,2072,1.03431654
1720036262,2073,0.68910557
1720036290,2076,0.78084296
1720036298,2077,0.777542531
1720036316,2079,0.721138835
1720036333,2081,0.805253386
1720036367,2085,0.687503457
1720036405,2089,0.798771918
1720036451,2094,0.687956214
1720036468,2096,0.727133751
1720036530,2103,0.74297905
1720036599,2111,0.696596146
1720036636,2115,0.695557654
1720036700,2122,0.953594089
1720036709,2123,1.00880301
1720036838,2138,0.636094928
1720036863,2141,0.807607114
1720036890,2144,0.702836633
1720036899,2145,0.797696412
1720036936,2149,0.760630369
1720036953,2151,0.783110976
1720036998,2156,0.702102602
1720037068,2164,0.926433146
1720037077,2165,0.685318887
1720037111,2169,0.666864455
1720037128,2171,0.848641634
1720037145,2173,0.984368384
1720037183,2177,0.883895397
1720037270,2187,0.656549275
1720037286,2189,0.53293556
1720037303,2191,0.636056304
1720037311,2192,0.733079731
1720037347,2196,0.816190302
1720037375,2199,0.75824368
1720037448,2207,0.745973527
1720037484,2211,0.727795899
1720037609,2225,0.840187073
1720037645,2229,0.937685668
1720037663,2231,0.658274114
1720037708,2236,0.658150971
1720037716,2237,0.685798824
1720037734,2239,0.684975445
1720037760,2242,0.817820013
1720037777,2244,0.611588418
1720037793,2246,0.541364729
1720037802,2247,0.603895128
1720037866,2254,0.974152505
1720037893,2257,0.748550177
1720037938,2262,0.72777456
1720038107,2281,0.604652584
1720038196,2291,0.819689035
1720038249,2297,0.766519845
1720038274,2300,0.806568503
1720038300,2303,0.938914955
1720038327,2306,0.773284137
1720038336,2307,0.846222878
1720038344,2308,0.692984402
1720038443,2319,0.773466527
1720038452,2320,0.766071439
1720038469,2322,0.842000961
1720038579,2335,0.861009061
1720038668,2345,0.787590802
1720038746,2354,0.631443858
1720038900,2371,0.497976482
1720039061,2389,0.497800529
1720039070,2390,0.461146355
1720039087,2392,0.652838349
1720039502,2400,0.648986995
1720039522,2402,0.638695419
1720039557,2406,0.830894709
1720039647,2416,0.5894261
1720039717,2424,0.697112203
1720039725,2425,0.656258702
1720039824,2436,0.681811631
1720039896,2444,0.759550273
1720039948,2450,0.782344759
1720039956,2451,0.831867099
1720039973,2453,0.793595135
1720039992,2455,0.622989476
1720040038,2460,0.403320551
1720040260,2485,0.579288781
1720040269,2486,0.98198086
1720040357,2496,0.725897551
1720040374,2498,0.599621534
1720040408,2502,0.873806596
1720040416,2503,0.435498953
1720040515,2514,0.631055593
1720040543,2517,1.007725477
1720040598,2523,0.724932551
1720040642,2528,0.663566589
1720040659,2530,1.103636265
1720040676,2532,0.668999791
1720040692,2534,0.600108564
1720040808,2547,1.026555538
1720040845,2551,0.657187045
1720040863,2553,0.532377958
1720040888,2556,0.657276988
1720040968,2565,0.611645877
1720040977,2566,0.627688229
1720041065,2576,0.816043913
1720041082,2578,0.692961693
1720041189,2590,0.744283557
1720041199,2591,0.778504312
1720041208,2592,0.661363244
1720041244,2596,0.49922961
1720041280,2600,0.883905649
1720041335,2606,0.748090625
1720041485,2623,0.607132256
1720041512,2626,0.813727558
1720041539,2629,0.577300727
1720041548,2630,0.745590329
1720041617,2638,0.764434695
1720041671,2644,0.717966199
1720041725,2650,0.575424314
1720041770,2655,0.65609622
1720041937,2674,0.686145902
1720041974,2678,0.860270619
1720041992,2680,0.500604868
1720042037,2685,0.644095421
1720042080,2690,0.8318488
1720042195,2703,0.700382769
1720042259,2710,0.727145672
1720042393,2725,0.763337553
1720042492,2736,0.589717567
1720042501,2737,0.633090198
1720042529,2740,0.732334673
1720042579,2746,0.864040434
1720042642,2753,0.645824492
1720042651,2754,0.817914546
1720042660,2755,0.616695523
1720042669,2756,0.659467518
1720042678,2757,0.660505295
1720042760,2766,0.637257993
1720042964,2789,0.480026037
1720042973,2790,0.455683202
1720042982,2791,0.587548792
1720043043,2798,0.884536445
1720043141,2809,0.501649261
1720043159,2811,0.690698624
1720043265,2823,0.767472446
1720043274,2824,0.740133345
1720043300,2827,0.627876282
1720043317,2829,0.883385122
1720043325,2830,0.913017809
1720043344,2832,0.691136003
1720043517,2851,0.756668389
1720043588,2859,0.570169091
1720043615,2862,0.685306132
1720043697,2871,0.567877114
1720043706,2872,0.710475445
1720043777,2880,0.669895053
1720043786,2881,0.575108171
1720043840,2887,0.542828739
1720043868,2890,1.034647703
1720043921,2896,0.812805235
1720043940,2898,0.917773604
1720043957,2900,0.746508598
1720044107,2917,0.521438122
1720044125,2919,0.707654655
1720044134,2920,0.714429557
1720044143,2921,0.932147145
1720044241,2932,0.612215281
1720044328,2942,0.4730829
1720044400,2950,0.572979152
1720044548,2967,0.479264945
1720044612,2974,0.624476492
1720044621,2975,0.719649851
1720044645,2978,0.677245736
1720044789,2994,0.713941276
1720044826,2998,0.338493735
1720045219,3003,0.504306376
1720045236,3005,0.81498462
1720045253,3007,0.629613876
1720045273,3009,0.659039378
1720045291,3011,0.772488475
1720045327,3015,0.707710445
1720045336,3016,0.554611266
1720045432,3027,0.650382161
1720045457,3030,0.770342827
1720045527,3038,0.581293583
1720045554,3041,0.63981384
1720045563,3042,0.695213437
1720045634,3050,0.731719732
1720045765,3065,0.39002043
1720045783,3067,0.580649197
1720045801,3069,0.602644563
1720045819,3071,0.599996626
1720045915,3082,0.861676574
1720045950,3086,0.954725504
1720046067,3099,0.531796217
1720046268,3122,0.765497029
1720046402,3137,0.746064901
1720046410,3138,0.720830858
1720046460,3144,0.5902614
1720046469,3145,0.761622131
1720046488,3147,0.96694541
1720046514,3150,0.523124933
1720046559,3155,0.614564955
1720046595,3159,0.629379094
1720046613,3161,0.625177681
1720046755,3177,0.835051477
1720046853,3188,0.561035275
1720046912,3195,0.699198782
1720046921,3196,0.453760982
1720046986,3203,0.590492547
1720047013,3206,0.71056664
1720047228,3230,0.715949416
1720047255,3233,0.614406466
1720047319,3240,0.648560166
1720047345,3243,0.568161368
1720047353,3244,0.668174565
1720047371,3246,0.828858972
1720047379,3247,0.899395049
1720047442,3254,0.501220167
1720047559,3267,0.969358683
1720047602,3272,0.914715886
1720047682,3281,0.711975157
1720047700,3283,0.82820183
1720047718,3285,0.609761775
1720047781,3292,0.605692446
1720047896,3305,0.694729388
1720047915,3307,0.630221426
1720047968,3313,0.900518417
1720048040,3321,0.7728405
1720048093,3327,0.573144317
1720048102,3328,0.498858988
1720048146,3333,0.873301387
1720048192,3338,0.516854048
1720048255,3345,0.717860937
1720048326,3353,0.603280127
1720048360,3357,0.607317924
1720048396,3361,0.636134148
1720048511,3374,0.848616362
1720048529,3376,0.629053295
1720048546,3378,0.687163532
1720048571,3381,0.517328978
1720048614,3386,0.740984738
1720048767,3403,0.584313393
1720048809,3408,0.453523844
1720048969,3426,0.682083428
1720049004,3430,0.874544382
1720049030,3433,0.472555935
1720049071,3438,0.59990114
1720049135,3445,0.47522831
1720049170,3449,0.681536198
1720049188,3451,0.738697946
1720049242,3457,0.702313006
1720049251,3458,0.840156078
1720049303,3464,0.711659968
1720049365,3471,0.517669976
1720049419,3477,0.463782549
1720049446,3480,0.629661143
1720049499,3486,0.58249265
1720049596,3497,0.686450481
1720049615,3499,0.834375024
1720049704,3509,0.62389636
1720049730,3512,0.64800179
1720049748,3514,0.547076046
1720049790,3519,0.646391988
1720049931,3535,0.767656088
1720049948,3537,0.385652393
1720050001,3543,0.575408638
1720050034,3547,0.484364599
1720050051,3549,0.791064203
1720050177,3563,0.686987221
1720050282,3575,0.678034961
1720050328,3580,0.551980197
1720050436,3592,0.590025544
1720050444,3593,0.82877928
1720050496,3599,0.741661072
1720050861,3600,0.606531501
1720050985,3614,0.587048113
1720051019,3618,0.495740801
1720051039,3620,0.706778586
1720051056,3622,0.588202059
1720051083,3625,0.544734836
1720051111,3628,0.562375009
1720051190,3637,0.714420617
1720051242,3643,0.575713634
1720051260,3645,0.523512781
1720051359,3656,0.696619153
1720051368,3657,0.655331433
1720051421,3663,0.544924557
1720051481,3670,0.616092443
1720051694,3694,0.54832834
1720051747,3700,0.59432441
1720051766,3702,0.793577135
1720051952,3723,0.658494353
1720051979,3726,0.751647174
1720052017,3730,1.014873385
1720052026,3731,0.764306426
1720052036,3732,0.569786608
1720052089,3738,0.677601099
1720052116,3741,0.873188138
1720052134,3743,0.876436234
1720052210,3752,0.385673136
1720052275,3759,0.589820981
1720052319,3764,0.473823458
1720052389,3772,0.787496626
1720052424,3776,0.734175444
1720052494,3780,0.689134657
1720052601,3793,0.684174597
1720052618,3795,0.673393667
1720052643,3798,0.648500144
1720052751,3810,0.590481997
1720052784,3814,0.62749517
1720052825,3819,0.570015609
1720052842,3821,0.785006762
1720052927,3831,0.70143342
1720052947,3833,0.586902499
1720052965,3835,0.557394743
1720053079,3848,0.689503789
1720053218,3864,0.626556873
1720053264,3869,0.433881819
1720053325,3876,0.685073912
1720053548,3901,0.838487208
1720053557,3902,0.5647856
1720053565,3903,0.603634179
1720053625,3910,0.606766343
1720053713,3920,0.623079002
1720053785,3928,0.468310952
1720053846,3935,0.564107418
1720053880,3939,0.425875425
1720053981,3950,0.631035984
1720054033,3956,0.593403578
1720054085,3962,0.455468923
1720054110,3965,0.56542778
1720054243,3980,0.620769739
1720054279,3984,0.434261233
1720054374,3995,0.520521283
1720054421,4000,0.544615984
1720054466,4005,0.818426192
1720054500,4009,0.443288237
1720054509,4010,0.628480971
1720054604,4021,0.629199326
1720054612,4022,0.689404428
1720054712,4033,0.422531933
1720054730,4035,0.597853184
1720054739,4036,0.538977623
1720054800,4043,0.630967498
1720054817,4045,0.449950993
1720054826,4046,0.437487364
1720054834,4047,0.495008081
1720054842,4048,0.648428261
1720054896,4054,0.855120242
1720055088,4076,0.903263569
1720055239,4093,0.42050159
1720055282,4098,0.83474791
1720055290,4099,0.794655502
1720055307,4101,0.54503864
1720055378,4109,0.597074151
1720055485,4121,0.869437039
1720055892,4167,0.420421213
1720056015,4181,0.370411903
1720056023,4182,0.365422547
1720056120,4193,0.782384038
1720056130,4194,0.641028941
1720056149,4196,0.497716308
1720056165,4198,0.252331167
1720056539,4201,0.637117207
1720056548,4202,0.517985225
1720056567,4204,0.502399623
1720056767,4227,0.583970785
1720056814,4232,0.595509708
1720056842,4235,0.542618215
1720056869,4238,0.516049147
1720056914,4243,0.536812067
1720057010,4254,0.476045936
1720057091,4263,0.534563959
1720057117,4266,0.509787738
1720057126,4267,0.512816548
1720057205,4276,0.583429694
1720057257,4282,0.806675136
1720057402,4298,0.508331656
1720057454,4304,0.465439051
1720057488,4308,0.523814619
1720057572,4317,0.864147663
1720057590,4319,0.592667997
1720057671,4328,0.527991712
1720057705,4332,0.527383745
1720057758,4338,0.628383398
1720057802,4343,0.847552419
1720057856,4349,0.460860848
1720057935,4358,0.759106517
1720057997,4365,0.538259387
1720058033,4369,0.912859976
1720058115,4378,0.636306405
1720058246,4393,0.661216855
1720058309,4400,0.799480796
1720058337,4403,0.529142082
1720058355,4405,0.626240253
1720058365,4406,0.656589687
1720058400,4410,0.546542823
1720058408,4411,0.470134407
1720058522,4424,0.913722992
1720058575,4430,0.660613954
1720058584,4431,0.659168005
1720058602,4433,0.55474776
1720058656,4439,0.592327237
1720058682,4442,0.738522649
1720058922,4469,0.409101009
1720058977,4475,0.53204298
1720059014,4479,0.489121825
1720059041,4482,0.49598974
1720059112,4490,0.718936265
1720059130,4492,0.551513493
1720059246,4505,0.627133667
1720059283,4509,0.648149788
1720059292,4510,0.575462878
1720059459,4529,0.523013234
1720059468,4530,0.635453641
1720059495,4533,0.780357659
1720059560,4540,0.660850823
1720059578,4542,0.453454077
1720059648,4550,0.619156659
1720059666,4552,0.641281843
1720059675,4553,0.524632037
1720059790,4566,0.544319212
1720059807,4568,0.682456017
1720059893,4578,0.64004004
1720059921,4581,0.442958206
1720060019,4592,0.576951802
1720060045,4595,0.497754902
1720060063,4597,0.814112246
1720060081,4599,0.64234513
1720060191,4611,0.62500602
1720060341,4628,0.765275657
1720060473,4643,0.608500481
1720060527,4649,0.634013772
1720060585,4656,0.637364209
1720060638,4662,0.613981068
1720060657,4664,0.694964886
1720060694,4668,0.501544774
1720060756,4675,0.732857883
1720060765,4676,0.867240965
1720060774,4677,0.426318705
1720060860,4687,0.432488739
1720061049,4708,0.585420966
1720061091,4713,0.425884664
1720061138,4718,0.426155716
1720061193,4724,0.428872943
1720061280,4734,0.502716482
1720061322,4739,0.615481377
1720061378,4745,0.618949473
1720061414,4749,0.73016578
1720061423,4750,0.498773456
1720061494,4758,0.581888914
1720061519,4761,0.520960748
1720061528,4762,0.590189159
1720061544,4764,0.695655525
1720061569,4767,0.395409644
1720061579,4768,0.514697969
1720061587,4769,0.415663868
1720061652,4776,0.662541151
1720061679,4779,0.493572772
1720061688,4780,0.476949871
1720061697,4781,0.344648868
1720061706,4782,0.327460378
1720061724,4784,0.462924331
1720061750,4787,0.561938822
1720061758,4788,0.456241667
1720061807,4794,0.602769494
1720062215,4800,0.555978298
1720062234,4802,0.500820279
1720062259,4805,0.705906868
1720062437,4825,0.473334074
1720062454,4827,0.568844497
1720062504,4833,0.543583989
1720062567,4840,0.624812722
1720062675,4852,0.486099541
1720062787,4865,0.317842692
1720062842,4871,0.495551169
1720062860,4873,0.568129957
1720063001,4889,0.629293799
1720063029,4892,0.553900659
1720063049,4894,0.492570162
1720063058,4895,0.706958175
1720063227,4914,0.511645973
1720063308,4923,0.601853371
1720063440,4938,0.591394544
1720063465,4941,0.785781562
1720063583,4954,0.573878944
1720063653,4962,0.516727567
1720063723,4970,0.742133737
1720063731,4971,0.58108145
1720063760,4974,0.553040922
1720063778,4976,0.660210252
1720063788,4977,0.767098129
1720063913,4991,0.626273453
1720063983,4999,0.549726009
1720064120,5014,0.584369361
1720064180,5021,0.685976505
1720064232,5027,0.662413716
1720064260,5030,0.635878384
1720064324,5037,0.712484479
1720064438,5050,0.380024195
1720064455,5052,0.676497936
1720064465,5053,0.543024004
1720064474,5054,0.405528754
1720064529,5060,0.560641825
1720064685,5078,0.701689363
1720064829,5094,0.548920691
1720064889,5101,0.769422174
1720064932,5106,0.865943789
1720064942,5107,0.546705186
1720064996,5113,0.837051511
1720065076,5122,0.742327034
1720065112,5126,0.575068355
1720065130,5128,0.42428118
1720065182,5134,0.48207438
1720065210,5137,0.488109171
1720065413,5160,0.599095404
1720065459,5165,0.515031099
1720065577,5178,0.631109059
1720065613,5182,0.594841421
1720065639,5185,0.694089651
1720065775,5200,0.501899898
1720065843,5208,0.419129163
1720065877,5212,0.670177996
1720065886,5213,0.685934007
1720066049,5231,0.476347506
1720066076,5234,0.454006016
1720066085,5235,0.53637141
1720066102,5237,0.514116406
1720066120,5239,0.521903396
1720066128,5240,0.451529503
1720066165,5244,0.491662771
1720066174,5245,0.417739093
